model,n_oos,rmse,mae,mape_pct,qlike,corr,omega,alpha,beta,persistence,regime_0_omega,regime_0_alpha,regime_0_beta,regime_0_persistence,regime_1_omega,regime_1_alpha,regime_1_beta,regime_1_persistence,regime_2_omega,regime_2_alpha,regime_2_beta,regime_2_persistence
"Baseline GARCH(1,1)",3360,0.0001224925673914415,2.8904824864090917e-05,137196.82742882532,-9.997530300768753,0.15986756970613575,9.800148552297246e-07,0.15859063120761485,0.8213623615640261,0.9799529927716409,,,,,,,,,,,,
"Regime-Switching GARCH(1,1)",3360,0.00010829358413862492,2.5211499973798605e-05,118813.45593015592,-10.287668658890263,0.4648960496904155,,,,,8.437192043035124e-07,0.17688059602802844,0.7753333736638849,0.9522139696919133,0.0005569423341887222,0.002155144157013874,0.011510132588130165,0.013665276745144039,6.030250048915314e-06,0.13813007678616382,0.7366934015493737,0.8748234783355375
