timestamp,baseline_forecast,baseline_vol,realised_var,rs_forecast,rs_vol,regime
2025-08-14 06:00:00,3.34952498430634e-05,0.005787508085788166,2.9429305028784968e-05,2.4316034330521935e-05,0.004931129113146596,0
2025-08-14 07:00:00,3.3222468108879046e-05,0.005763893485212842,4.253477196942146e-06,2.4838385062886546e-05,0.004983812302132429,0
2025-08-14 08:00:00,2.916233605507221e-05,0.005400216297063685,4.282232243826034e-06,2.0853268691365163e-05,0.0045665379327631955,0
2025-08-14 09:00:00,2.586532810101851e-05,0.005085796702682728,4.362143568791082e-06,1.7782310556604623e-05,0.004216907700745254,0
2025-08-14 10:00:00,2.3196634211132043e-05,0.004816288426904273,2.4485807689698625e-05,1.5425875668989697e-05,0.0039275788558588735,0
2025-08-14 11:00:00,2.4094724131922858e-05,0.004908637706321669,8.445493958286916e-05,1.711470441560809e-05,0.004136992194288997,0
2025-08-14 12:00:00,3.3967924083151235e-05,0.005828200758651956,8.114959130689792e-08,5.108225738339137e-05,0.007147185276973822,2
2025-08-14 13:00:00,2.913236804767977e-05,0.005397440879498336,1.0629178506495285e-05,1.4164370738135992e-05,0.0037635582549146217,0
2025-08-14 14:00:00,2.68086208280532e-05,0.005177704204379891,2.7274218134872427e-06,1.3725698375180478e-05,0.0037048209639846943,0
2025-08-14 15:00:00,2.371441746455089e-05,0.004869745112893578,6.1404823253349415e-06,1.2009778290964533e-05,0.0034655127024676353,0
2025-08-14 16:00:00,2.171880347063193e-05,0.004660343707349484,2.6038401610533628e-05,1.1280237569665316e-05,0.003358606492232354,0
2025-08-14 17:00:00,2.3129773764239786e-05,0.004809342342175257,4.2733319028103735e-06,1.4185459653647783e-05,0.0037663589385038415,0
2025-08-14 18:00:00,2.0958748251572188e-05,0.004578072547652799,0.0005906165758392638,0.0005429321612324593,0.023300904729912513,1
2025-08-14 19:00:00,0.00010858778889525494,0.010420546477764732,2.8633065968600288e-05,7.802384416698066e-05,0.00883311067331213,2
2025-08-14 20:00:00,9.416063996065492e-05,0.00970364055190911,3.6788209994177436e-05,7.498034438222244e-05,0.00865911914586134,2
2025-08-14 21:00:00,8.36729145069615e-05,0.009147290008902171,1.8819918056000616e-05,7.255764678367671e-05,0.008518077646022998,2
2025-08-14 22:00:00,7.240563026669347e-05,0.008509149796935853,1.5962156171441722e-05,6.940612342012288e-05,0.008331033754590296,2
2025-08-14 23:00:00,6.28082311958977e-05,0.007925164427057504,4.6754100939020946e-06,6.633231859779143e-05,0.00814446551946728,2
2025-08-15 00:00:00,5.328356671935279e-05,0.007299559351039814,1.3771368468100389e-05,6.290934280914845e-05,0.007931541010998333,2
2025-08-15 01:00:00,4.692560773175849e-05,0.006850226837978322,1.6787681742065664e-06,6.018077324442103e-05,0.007757626779139419,2
2025-08-15 02:00:00,3.991214948455179e-05,0.00631760630971508,1.772310479701804e-05,5.7038573534532006e-05,0.007552388597955749,2
2025-08-15 03:00:00,3.6655468502756413e-05,0.0060543759796329475,2.3598232461567824e-05,5.4918544635475715e-05,0.007410704732714407,2
2025-08-15 04:00:00,3.490310871496998e-05,0.005907885299747277,6.217507272733118e-06,5.324067414258123e-05,0.007296620734462031,2
2025-08-15 05:00:00,3.082834332243295e-05,0.0055523277391048296,5.692113519482531e-06,5.0811218324749804e-05,0.007128198813497685,2
2025-08-15 06:00:00,2.743495068142138e-05,0.005237838359611852,2.2084635463837286e-06,4.852555472650511e-05,0.006966028619414731,2
2025-08-15 07:00:00,2.4144580691025766e-05,0.0049137135336755,9.482769985050058e-06,4.6225705081483845e-05,0.006798948821802077,2
2025-08-15 08:00:00,2.2578147453547056e-05,0.004751646814899762,3.7324277440215048e-06,4.445056023354772e-05,0.0066671253350711595,2
2025-08-15 09:00:00,2.0427740826990227e-05,0.0045197058341213125,2.1050523673478376e-06,4.251215841291693e-05,0.006520134846221888,2
2025-08-15 10:00:00,1.8431082041757672e-05,0.004293143608331507,1.2629821554370065e-05,4.062807595089755e-05,0.006374015684864413,2
2025-08-15 11:00:00,1.841216492096273e-05,0.004290939864524173,8.274922277773394e-06,3.9402117720570515e-05,0.006277110618793532,2
2025-08-15 12:00:00,1.7732831566358923e-05,0.004211036875445159,2.919974785464762e-06,3.804423160253742e-05,0.00616800061628867,2
2025-08-15 13:00:00,1.6364029593114066e-05,0.0040452477789517495,2.58331730480097e-06,3.651365013815223e-05,0.006042652574668863,2
2025-08-15 14:00:00,1.5199696402521925e-05,0.0038986788021741323,9.488882599294439e-06,3.507337650224148e-05,0.005922277982520027,2
2025-08-15 15:00:00,1.5305776750535985e-05,0.003912259801001972,5.028267151555099e-06,3.4079200285569166e-05,0.005837739312916359,2
2025-08-15 16:00:00,1.4711964302348237e-05,0.003835617851448217,3.415233832503935e-08,1.2765703135887619e-05,0.00357291241648709,0
2025-08-15 17:00:00,1.3467714290270293e-05,0.0036698384556094962,7.623027121491066e-06,1.0799338630585696e-05,0.0032862347193384858,0
2025-08-15 18:00:00,1.3612990234485174e-05,0.0036895785984967407,3.1356670482495908e-06,1.060435863163167e-05,0.00325643342195594,0
2025-08-15 19:00:00,1.3046971170680078e-05,0.0036120591316699227,2.3441098864735705e-05,9.671686226296884e-06,0.003109933476185123,0
2025-08-15 20:00:00,1.568250950143374e-05,0.003960114834374597,4.9356736689582695e-05,1.2491150072051919e-05,0.003534282115515387,0
2025-08-15 21:00:00,2.1776648338288542e-05,0.004666545653723806,5.383861060870225e-08,1.9184648263445682e-05,0.004380028340484303,0
