method,silhouette_score,calinski_harabasz_score,davies_bouldin_score,avg_regime_duration,regime_balance,volatility_separation,transition_frequency,within_regime_volatility
threshold,0.027209318038226713,1777.577244868942,3.0715793152128583,18.769832402234638,0.9999103293944382,14232.932290897306,0.05321745341984642,0.00479051695807335
hmm,0.07661028480994493,2186.3431546031843,2.894529791292848,21.959477124183007,0.960369474716037,9496.4324720368,0.0454788975534258,0.004701582967314972
kmeans,0.2252085600351645,2693.447000274305,1.7779882832233849,12.517883755588674,0.8517254148557927,7334.206207612977,0.07982618012976964,0.0047015244346540475
gmm,0.17015188812374268,2435.9192856608465,2.1786358495422635,8.234803921568627,0.9283989214206907,5512.066248056618,0.1213762723971665,0.004580971849200672
patchtst,0.030781664887934046,628.5133937684221,5.664669427143912,221.03947368421052,0.9073023167079133,597.5012753084309,0.004464551461396512,0.005177999681190821
garch,0.25368763193370303,1437.5104101488223,2.1126778637388957,20.790841584158414,0.5492259974942548,7933.461272156431,0.048038573724626464,0.004595102501199392
informer,0.0395692107359661,1882.4260328490248,2.913370788158311,19.602100350058343,0.9918961369583486,13997.56203167747,0.050955414012738856,0.00499782728230191
