method,silhouette_score,calinski_harabasz_score,davies_bouldin_score,avg_regime_duration,regime_balance,volatility_separation,transition_frequency,within_regime_volatility
hmm,0.12552925296761092,6156.005904004643,2.4593307824660644,2.0151218928300683,0.9224421476264264,22714.10305941779,0.4962280962280962,0.0004683306239688478
kmeans,0.04160362131533382,6017.274602090044,2.787704511774298,1.724190905366653,0.9215006421645187,23274.86242310424,0.57996237996238,0.0004793065850663019
gmm,0.15358041280894522,6172.295077772618,2.5364796160307446,2.1053399474759265,0.9054622008978082,19283.693055991847,0.474962874962875,0.000461066978253251
threshold,0.05739586171022804,6613.302174042595,2.3695685773682147,17.406043765196248,0.9998969176763914,31922.535780598526,0.057431353767560665,0.00048671917034984495
patchtst,0.0619034792255044,3081.9082252644243,3.5719530767174414,1.8567332083379287,0.9277762570303055,6174.347111272375,0.5385605385605385,0.0005257537091355898
informer,0.03692324201839466,6011.9597036013765,2.450641692293219,1.9837778388781964,0.9945607406969217,25969.055335824003,0.504068904068904,0.0004945277616642558
