feature,importance,std,gini
log_return,0.0024629442228704113,0.0004312524593976393,0.33757321103271076
volume_spike,0.0009822013215072395,0.0003219433843202662,0.43187643914198176
bb_width,0.0001413774629442227,0.00016010949157204996,0.013467792421411115
atr_pct,7.440919102326415e-05,0.00016770979923782112,0.014451025534756213
cum_return_60m,1.4881838204666709e-05,0.0001322726712500063,0.01528193362400191
vol_240m,-0.00012649562473958376,6.269829880630701e-05,0.005759875669892785
vol_ratio_60_240,-0.00026043216858145923,0.00015447749488084242,0.011213064820184566
vol_60m,-0.0010789332698374898,0.00021346491290824722,0.05921353872931512
return_skew_60m,-0.0014956247395678107,0.00016148680289161828,0.06900273148302741
rsi,-0.00177837966545627,0.0002734980646093547,0.04216038754271831
