feature,importance,std,gini
vol_60m,0.10694833025775345,0.0014428285591879758,0.39961511582514864
vol_ratio_60_240,0.06257068873147213,0.0015227364174874275,0.24819065512555322
atr_pct,0.009918745163402617,0.0008402310099854851,0.18028645722029402
log_return,0.0033484135960474143,0.00024498597584909253,0.017476699728502812
return_skew_60m,0.0032293588904101778,0.00030895498976172094,0.007858098024051144
volume_spike,0.0030805405083636217,0.0003229736057832417,0.0074425938623242415
cum_return_60m,0.0027308173105542177,0.00039980661444161716,0.020080236600002445
bb_width,0.0022918030835169106,0.0007296654962873733,0.07587563830438661
vol_240m,0.0017039704744330197,0.0004123504673640553,0.03997493676276414
rsi,0.0013393654384189768,0.00032331628344545274,0.003199568546972649
